# Omega_m, Omega_b, h, n_s, sigma_8
2.724117897450923920e-01 6.257471889257432140e-02 8.225651066750288010e-01 8.213826738297940189e-01 7.191756926476955414e-01
3.714378051459789054e-01 3.725421771407127353e-02 5.140692651271819846e-01 1.030899090692400932e+00 9.434609074145555718e-01
4.386789694428444575e-01 5.436792913824320395e-02 7.255040116608142409e-01 9.405251909047365189e-01 8.473939970135688782e-01
1.424714490771293862e-01 4.591998655349016634e-02 6.361486706882715225e-01 1.111758092045783908e+00 6.152348544448613676e-01
1.928205166012048888e-01 5.713926427066326474e-02 5.922621585428714530e-01 1.189167945459485010e+00 6.854651801288127455e-01
4.883307103067636712e-01 4.307120420038700048e-02 8.945080164819956270e-01 9.616733819246292558e-01 8.518036175519227982e-01
3.217860620468855348e-01 6.597593631595373431e-02 6.581037890166043791e-01 1.070811208337545395e+00 9.572398170828819719e-01
2.220627199858427048e-01 3.377555202692746755e-02 7.537091106176376787e-01 8.800316523760557397e-01 7.800245221704245058e-01
2.277765728533268086e-01 5.196053575724363799e-02 6.814140260219574419e-01 9.923114854842424171e-01 9.154839750379324403e-01
3.283769078552722931e-01 4.790710534900427531e-02 7.803395550698042360e-01 1.158578675985336259e+00 7.476438686251640764e-01
4.614269942045211570e-01 6.109505988657475128e-02 5.659751210361718687e-01 8.739540986716747284e-01 6.437031377106904317e-01
1.574195563793182595e-01 3.891907088458537722e-02 8.707601495087147203e-01 1.076937584206461906e+00 8.194171480834484544e-01
1.077556092292070444e-01 6.769941169768572964e-02 7.021970156580209510e-01 1.024476640671491579e+00 8.798814620822668076e-01
4.110901344567537974e-01 3.239353958517313115e-02 6.095214702188969103e-01 8.277562897652388507e-01 6.570975080132483992e-01
3.787137713283300622e-01 5.918500527739525147e-02 8.488553851842880471e-01 1.143619998171925500e+00 7.516567666083574517e-01
2.774405237287282944e-01 4.076145738363266130e-02 5.378203760832548364e-01 9.086144626140594260e-01 9.853175543248653412e-01
2.955230802297592607e-01 5.812699526548385787e-02 7.984183706343174203e-01 1.051255360990762666e+00 6.083032015711068441e-01
3.981272757053375688e-01 4.157493814826011824e-02 6.899221245199441688e-01 8.978788908571004868e-01 8.293302960693835768e-01
4.182883121073246446e-01 6.992997590452433576e-02 8.513633560389279875e-01 1.182112843170762151e+00 9.363331567496061547e-01
1.130613155663013486e-01 3.025047738105058476e-02 5.620076566934585349e-01 9.670198872685432656e-01 7.013049900531769243e-01
1.626145448535680771e-01 6.152944557368755785e-02 6.179807644337416139e-01 9.319564167410134825e-01 7.994584593921899573e-01
4.687341805547475815e-01 3.872982956469059324e-02 7.202269792556762473e-01 1.115786238014698117e+00 9.628073312342166901e-01
3.476814109832048194e-01 5.035634722560644594e-02 5.338040597736835036e-01 8.003131546080113345e-01 8.714351814240217653e-01
2.459698546677827891e-01 4.942440699785947966e-02 8.294097874313592911e-01 1.047427969798445657e+00 6.908381670713424905e-01
2.042212262749671936e-01 6.639956425875426227e-02 5.071720901876688448e-01 1.135099307075142949e+00 8.015457063913344893e-01
3.021253392100334279e-01 3.357555355876683939e-02 8.060980238020420963e-01 9.126921698451042619e-01 6.365731220692395498e-01
4.814773581922054957e-01 5.554384924471378326e-02 6.417271047830581665e-01 1.003456694632768542e+00 7.295748032629489899e-01
1.871760420501232258e-01 4.459727995097637065e-02 7.465124916285276191e-01 8.443332638591528605e-01 9.085484836250543594e-01
1.367423813790082932e-01 5.332006651908159645e-02 8.779920816421509233e-01 8.543501682579517365e-01 9.906867027282715288e-01
4.319119226187467797e-01 4.674361411482096107e-02 5.853161793202161789e-01 1.094735261425376027e+00 7.712829660624265227e-01
3.516907725483179314e-01 6.479589924216271057e-02 7.746687863022089227e-01 9.852068100124597994e-01 6.626627571880817635e-01
2.546548847109079139e-01 3.510177105665206881e-02 6.636333711445331351e-01 1.163877086341380984e+00 8.993146602064370221e-01
2.583705659955740086e-01 5.491973232477903588e-02 5.715506486594676971e-01 1.040117709338665097e+00 7.814841177314519882e-01
3.604782786220311896e-01 4.522177066653967209e-02 8.667652446776628050e-01 8.121411595493555069e-01 9.557817414402961509e-01
4.309430588036775589e-01 6.327300168573857242e-02 6.811117496341466682e-01 1.121753343567252204e+00 8.597102422267197674e-01
1.252081353217363580e-01 3.670248143374919836e-02 7.821858331561089006e-01 9.305040068924427255e-01 6.775631271302700043e-01
1.756540954113006703e-01 6.542415220290423439e-02 8.386227127164602724e-01 9.704281415790318999e-01 6.231535013765095998e-01
4.804963797330856767e-01 3.447374884039163673e-02 5.496580854058266130e-01 1.180439133197069168e+00 8.394799336791038957e-01
3.109249539673328844e-01 5.644100055098533880e-02 7.102810643613338693e-01 8.895630285143852900e-01 9.449329067021607909e-01
2.079246021807193978e-01 4.362292140722275058e-02 6.029570091515779051e-01 1.061302712932228998e+00 7.177052251994610055e-01
2.418607126921415440e-01 6.055309861898422463e-02 7.369206745177507845e-01 1.173583334311842918e+00 9.774109296500682609e-01
3.392935197800397984e-01 3.962712869048118369e-02 6.262763909995555656e-01 9.773327626287937608e-01 7.595588196069001929e-01
4.693156842142344187e-01 5.125256363302469614e-02 8.148595735430717024e-01 1.092719061672687619e+00 6.556379124522209167e-01
1.745300922542810662e-01 4.844915229827165964e-02 5.233558025211095810e-01 8.581955138593913013e-01 8.813395377248525175e-01
1.249645635485649164e-01 5.972694747149944611e-02 6.544692769646645036e-01 8.432248190045357195e-01 8.179451487958431244e-01
4.188819304108619690e-01 4.005341865122317990e-02 7.588635917752981630e-01 1.008985227718949274e+00 6.451736051589250787e-01
3.897272758185863495e-01 6.840736474841833947e-02 5.953109253197907957e-01 9.248598035424947517e-01 7.397252216935157332e-01
2.914262436330318229e-01 3.185151170939207188e-02 8.930646680295467599e-01 1.127348712831735655e+00 9.233980383723974228e-01
2.846564296633005142e-01 6.922199916094542993e-02 6.457464035600424257e-01 8.825079262256622092e-01 6.956268489360809548e-01
3.839946780353784561e-01 3.079251971095800164e-02 7.409614041447639687e-01 1.066649218276143118e+00 8.666419159620999402e-01
4.011277925223112328e-01 5.758503891527653323e-02 5.053014241158961806e-01 9.508722942322492822e-01 9.736524172127246635e-01
1.052210610359907150e-01 4.228300087153911979e-02 8.063758660107851473e-01 1.198286371678114026e+00 7.886118415743113008e-01
1.548727087676525227e-01 5.106430489569902670e-02 7.628554694354534593e-01 1.100683824345469519e+00 7.121376842260360718e-01
4.514767669141293016e-01 4.888238374143839132e-02 6.738904852420091185e-01 9.470328859984874503e-01 9.254989426583051237e-01
3.336457058787345997e-01 6.207138285040855741e-02 8.845321562141179594e-01 1.031548935174942061e+00 8.341069675981998000e-01
2.350047841668129189e-01 3.802178591489791676e-02 5.772076949477196184e-01 8.161693055182696055e-01 6.035219583660363929e-01
2.152284491807222588e-01 5.624213665723801214e-02 8.612112477421760559e-01 9.038398575037718263e-01 8.884695742279291597e-01
3.161173660308123079e-01 4.404554829001426641e-02 5.505665596574544907e-01 1.143925686925649554e+00 6.735093750059604201e-01
4.986930008977651374e-01 6.695136252790689912e-02 7.891562271863221678e-01 8.347041279077530573e-01 7.664942841976880583e-01
1.949611749500036462e-01 3.287733275443315700e-02 6.976520977914333344e-01 1.013062934949993998e+00 9.954799681901931319e-01
1.446244068443775233e-01 6.409763090312481371e-02 5.286251921206712723e-01 1.085614386200904891e+00 9.037718120962381363e-01
4.490291453897953255e-01 3.565348364412784798e-02 8.330198638141155243e-01 8.634939242154360262e-01 7.343560464680194411e-01
3.657812178134918213e-01 5.276828732341527772e-02 6.194485053420066833e-01 1.153979403898119926e+00 6.257404278963804023e-01
2.655652135610580555e-01 4.744181584566831839e-02 7.172026541084051132e-01 9.951304398477077706e-01 8.123799204826355203e-01
2.683367960155010334e-01 5.678074918687343875e-02 6.068684697151184304e-01 1.149072275310754732e+00 9.508964367210864799e-01
3.630119524896144867e-01 4.335125036537647303e-02 7.048179250210523383e-01 9.015737529844045639e-01 7.859848741441964881e-01
4.455724701285362910e-01 6.514378901571035718e-02 5.410573575645685196e-01 1.017437446489930064e+00 6.789209783077240212e-01
1.480788186192512623e-01 3.484173160046338813e-02 8.456473477184772713e-01 8.332100883126258850e-01 8.579556833952665107e-01
1.977297011762857437e-01 6.354432880878449486e-02 7.767120067030190977e-01 8.684940461069345918e-01 8.412474848330020460e-01
4.959206793457270335e-01 3.636238887906074330e-02 6.850125350058078322e-01 1.083983017504215329e+00 6.217826995998620987e-01
3.126637410372495873e-01 5.455140683799982598e-02 8.738036185503006426e-01 9.993584491312503815e-01 7.132158845663070235e-01
2.186859112232923674e-01 4.550179112702608386e-02 5.629636477679014206e-01 1.153120159730315120e+00 9.498067419975996240e-01
2.315267451107502206e-01 6.868399489670992675e-02 8.969641309231519699e-01 1.065350494161248163e+00 7.582002025097608344e-01
3.371275819838047139e-01 3.148742530494928055e-02 5.898349881172180176e-01 8.870777592062950578e-01 9.791662484407425149e-01
4.542697072029113770e-01 5.939322069287300554e-02 7.502752430737018585e-01 1.196215570718049959e+00 8.862256024032830748e-01
1.520759731531143299e-01 4.031920969486237072e-02 6.615055654197931068e-01 9.562141921371221098e-01 6.511363901197909643e-01
1.017399717122316471e-01 5.161699395626783565e-02 5.178936041891575304e-01 9.459783203899860826e-01 6.496621798723936081e-01
4.046066183596849219e-01 4.817286606878042055e-02 8.187727633863688403e-01 1.104716518148779913e+00 8.130720734596252885e-01
3.867906745523214118e-01 6.028765030205250619e-02 6.333019923418760078e-01 8.143426273018121719e-01 9.216312471777200477e-01
2.818627502769232018e-01 3.996119819581508970e-02 7.283216506242752297e-01 1.036353753507137210e+00 7.410952575504780038e-01
2.887282848358154741e-01 6.236128769814968525e-02 5.826696399599313736e-01 9.781920336186885612e-01 8.648865718394518343e-01
3.924229174852371660e-01 3.766334481537342294e-02 8.806187368929385695e-01 1.169355298206210092e+00 6.969854436814785226e-01
4.224602945148945299e-01 5.071455713361501527e-02 6.668646544218063132e-01 8.598268616944552134e-01 7.931133892387152162e-01
1.213884629309177482e-01 4.914405565708876433e-02 7.714542400091886076e-01 1.087718960642814592e+00 9.687663748860358970e-01
1.718351896852254868e-01 5.794321238994598611e-02 8.024761736392975742e-01 1.010479246452450797e+00 9.303720403462648614e-01
4.720143821090460046e-01 4.199282839894295100e-02 5.107771079987287743e-01 8.388503283262253030e-01 7.076491348445415053e-01
3.428688336163759343e-01 6.896006081253290565e-02 7.495494995266198668e-01 1.129614844173193022e+00 6.021519001573324426e-01
2.382815618067979924e-01 3.114200104027986526e-02 6.387098856270313485e-01 9.197131883352994697e-01 8.358737334609032121e-01
2.114755019545555281e-01 5.311215627938509209e-02 7.226766325533390267e-01 8.073363680392504627e-01 6.690085932612418462e-01
3.073702171444893105e-01 4.718616697937250137e-02 6.155478481203318086e-01 1.041944360733032315e+00 8.933548565953970400e-01
4.778258912265300751e-01 6.381162121891975625e-02 8.259816180914640871e-01 9.264712922275066820e-01 9.972345523536205736e-01
1.783283792436123061e-01 3.600819051265716220e-02 5.372123450040817705e-01 1.122807930037379220e+00 7.651364553719759432e-01
1.287620853632688578e-01 6.720727901905776402e-02 6.937407653778790984e-01 1.175097214430570691e+00 7.357268705964088440e-01
4.273913722485304101e-01 3.253373142331838358e-02 7.946195185184479204e-01 9.724989634007215056e-01 9.020042862743139489e-01
3.578047338873148187e-01 5.588769622147083532e-02 5.591674394905566947e-01 1.056732906773686365e+00 8.075060628354548964e-01
2.610417935997247918e-01 4.433182440698146820e-02 8.541867408901453462e-01 8.908617258071899192e-01 6.302297431975603104e-01
2.510791923850774765e-01 6.568573582917452969e-02 7.622962493449449983e-01 9.178448796272278276e-01 9.389723312109709008e-01
3.552703078836202399e-01 3.413369748741388460e-02 6.510655634105205758e-01 1.132827069237828166e+00 7.240487635135650635e-01
4.346072096377611160e-01 5.748871639370918551e-02 8.906073793768882751e-01 8.487016540020704269e-01 6.170016411691904290e-01
1.340433049947023503e-01 4.280923664569855069e-02 5.977361228317021880e-01 1.001968788355589002e+00 8.460239596664905770e-01
1.835972934961319081e-01 5.400944095104932841e-02 6.291241720318794250e-01 1.099741468951106027e+00 8.531622331589460151e-01
4.850538372993469238e-01 4.620984431356191940e-02 7.341048892587422880e-01 8.527127258479595406e-01 6.837098568677901778e-01
3.048236764967441337e-01 6.283634252846241608e-02 5.195325542241334693e-01 1.168099009990692050e+00 7.751384530216455238e-01
2.015252001583576202e-01 3.690442167222499764e-02 8.186537824571132882e-01 9.843536395579576270e-01 9.617413379251956718e-01
2.486437778919935448e-01 5.884143196046352775e-02 5.464191667735576186e-01 8.965862881392240302e-01 7.458763159811496735e-01
3.450097989290952794e-01 4.101740188896656203e-02 8.418295402079820633e-01 1.055819060653448105e+00 9.168547723442316277e-01
4.651798460632562415e-01 6.798571702092887081e-02 6.056080367416143417e-01 9.649429649114609209e-01 8.239064842462540117e-01
1.661666098982095829e-01 3.203912835568189371e-02 7.076589807868003401e-01 1.187460874393582166e+00 6.388293009251355681e-01
1.157321885228157071e-01 6.083945810794830905e-02 8.637236293405294862e-01 1.114737758040428073e+00 6.619828112423419286e-01
4.156136497855186240e-01 3.926298692822456637e-02 5.745632246136664900e-01 9.359830368310213533e-01 8.753807011991738829e-01
3.945759974420071092e-01 5.231529090553522360e-02 7.858152471482753310e-01 1.045595205947756678e+00 9.839596986770630105e-01
2.990782015025615914e-01 4.762114394456148231e-02 6.775143314152956009e-01 8.051240466535092288e-01 7.534113239496946779e-01
2.808937642723322026e-01 5.001628387719393026e-02 8.364460602402687961e-01 1.159431825578212782e+00 8.279594734311104265e-01
3.752566877752542274e-01 4.969576332718134148e-02 5.252157326787709746e-01 9.880895826965570006e-01 6.100707318633794563e-01
4.083219867199660014e-01 6.180949404835701239e-02 7.147510636597871336e-01 1.078575053438544318e+00 7.061788521707057509e-01
1.105275463312864331e-01 3.836153209209441917e-02 6.218802116811275038e-01 8.689478643238545130e-01 9.318438429385423882e-01
1.608758531510829926e-01 6.965835314244031573e-02 5.534086424857378450e-01 8.292442228645087177e-01 9.673081144690514055e-01
4.579729668796063136e-01 3.059027429670095263e-02 8.583889536559581313e-01 1.020108223706483797e+00 7.945731814950705019e-01
3.256057098507881276e-01 5.849502511322499099e-02 6.938353106379508972e-01 9.108866795897484492e-01 6.890835873782634735e-01
2.305454596877098139e-01 4.129462204873561582e-02 7.929561819881201234e-01 1.138467309251427695e+00 8.727930117398500220e-01
2.192671079188585337e-01 6.451958380639553903e-02 6.706580277532339096e-01 1.026088177785277278e+00 6.317000258713960648e-01
3.245793629437685457e-01 3.546617217361926894e-02 7.660680428147316201e-01 8.232154585421085358e-01 8.060342602431773695e-01
4.918114211410283820e-01 5.365410801023245274e-02 5.798530243337154388e-01 1.107731498777866364e+00 9.099185463041067345e-01
1.893420752137899565e-01 4.647813778370618598e-02 8.819035638123751131e-01 9.415736440569162369e-01 7.278080388903618303e-01
1.396788872778415846e-01 5.517971456050872747e-02 7.379254870116710441e-01 9.563253775238991228e-01 7.730383116751908812e-01
4.414753206074237823e-01 4.487386181950569347e-02 6.487654883414506468e-01 1.191244840994477361e+00 9.893281124532222748e-01
3.749154597520828469e-01 6.666530821472407831e-02 8.099988188594580141e-01 8.754679318517446518e-01 8.948131170123815314e-01
2.689302921295165794e-01 3.324177969247102404e-02 5.016982600092887434e-01 1.072103831917047501e+00 6.675488010048865606e-01
2.709651589393615723e-01 5.148455467075109537e-02 7.472887329757214037e-01 8.721959229558706728e-01 8.572270866483449048e-01
3.726883560419083086e-01 4.868617843836546555e-02 6.393784482032061067e-01 1.075569245964288712e+00 6.800112172961234602e-01
4.437268622219562308e-01 6.032122246921062941e-02 8.005877461284398589e-01 9.913354769349098650e-01 7.854531157761812654e-01
1.376196302473545185e-01 3.939052201807499015e-02 5.110367104411125405e-01 1.156431198492646306e+00 9.517928890883922133e-01
1.880533870309591404e-01 6.817068163305521622e-02 6.675713416188955307e-01 1.141470445692539304e+00 9.474073018878698127e-01
4.932923939079046916e-01 3.161986429244279667e-02 7.692316427826881853e-01 9.076374772936105506e-01 7.152475848793983237e-01
3.231228280812502018e-01 5.996389716863632924e-02 5.829918287694454415e-01 1.023110758885741323e+00 6.191864211112260152e-01
2.205314058810472488e-01 4.028563842177391302e-02 8.787928450852633411e-01 8.259987093508244227e-01 8.434729717671871629e-01
2.296628460288047957e-01 6.335328206419946206e-02 5.564943272620439529e-01 9.383762940764427407e-01 6.516437493264675140e-01
3.266867116093635781e-01 3.677803128957748274e-02 8.552249245345593387e-01 1.110780474916100546e+00 8.853047270327806251e-01
4.569164030253887177e-01 5.483887989073991942e-02 6.906953141093253867e-01 8.200157549232245380e-01 9.798704460263252258e-01
1.617340765893459376e-01 4.514595333486795536e-02 7.960666622966527939e-01 1.029142523556947797e+00 7.570855405181646791e-01
1.121807526797056198e-01 5.636510707437992346e-02 8.270823851227759871e-01 1.069052186235785573e+00 7.437159650027751479e-01
4.064704399555921777e-01 4.354229800403118522e-02 5.346017714589834657e-01 8.786641366779804896e-01 9.194301653653382811e-01
3.771326724439859612e-01 6.549962591379882015e-02 7.241618979722261873e-01 1.188192401826381639e+00 8.154959425330161604e-01
