gal_nmean,normalization,alpha,beta
1.012709999999999999e-04,1.625583345888306774e-01,5.140941304095099085e-01,1.648066989319316278e+00
4.364000000000000230e-05,6.008947751977708474e-02,9.167703777721998293e-01,2.962244894915847304e+00
3.429000000000000119e-06,7.280113277656533044e-02,6.749047728027901538e-01,3.932225287847819217e-01
1.000000000000000021e-08,1.517600346839849228e-02,1.772209356923387880e+00,3.212255987285985270e+01
5.974000000000000062e-05,6.662522944243885747e-02,7.430943095617592586e-01,5.992848136249452295e+01
1.600589999999999934e-04,2.569202127447133346e-02,1.248051324462523537e+00,6.254727957538530170e+00
3.932999999999999783e-05,1.877544220363979235e-02,1.808985662305630404e+00,4.422585590222481500e+01
5.020000000000000218e-07,1.733336209095547031e-02,1.922911389600889587e+00,4.757606637659652904e+01
4.142000000000000323e-06,2.033752431851884243e-02,6.496320561969574081e-01,1.094882503122868478e+01
1.763899999999999832e-05,8.286605069481102134e-03,2.139798512475464598e+00,4.294439089712174251e+00
1.397700000000000018e-05,7.338291312920392113e-03,2.813487176779242649e+00,6.590110510295995994e+01
3.929999999999999854e-07,4.288997665146284527e-03,1.974963585274277955e+00,3.119187987917026916e+01
1.700000000000000002e-08,7.229653368941893043e-04,5.722211104811472104e-01,6.955076072898961570e+01
6.700000000000000438e-08,1.931307087938865011e-04,5.370814436216957422e-01,5.410717189309913522e+00
7.199999999999999621e-08,1.127215049056614634e-04,5.416166014921238725e-01,6.788446996326732119e+01
4.000000000000000249e-09,1.873715627674377046e-05,3.151439215071845656e-01,2.905932367598231636e+01
